from,to
Study.ID,study.id
Email.address,email.submit
Institutional.affiliation,institution
Please.provide.the.name.of.a.primary.point.of.contact..This.is.the.person.the.GEDI.Science.Team.will.communicate.with.about.the.data.,name.contact
Email.address.for.point.of.contact..if.different.from.previously.entered.email.address.,email.contact
If.applicable..please.provide.citations.or.URLs.that.describe.your.study.and.or.data.,citation
Field.Data.Use.Restrictions.,field.restrictions
Please.describe.data.use.restrictions.,field.restrictions.details
Are.you.willing.to.share.your.field.data.with.ESA..s.Forest.Observation.System..FOS..who.will.publicly.distribute.plot.level.aggregated.biomass.estimates..Individual.tree.data.will.not.be.shared.publicly..but.will.be.provided.to.FOS.for.their.biomass.estimates..as.available..More.information.on.FOS.is.available.here.http...forest.observation.system.net..,field.fos.sharing
If.you.require.a.separate.data.sharing.agreement.with.FOS..please.provide.an.email.address.for.FOS.to.contact.you.,field.contact.fos
Vegetation.type..Select.all.that.apply.,veg.type
In.what.country.was.the.data.collected.,country
Local.name.of.study.area,study.area
When.were.the.field.data.collected..If.range..provide.completion.date.,field.date
Please.provide.a.brief.description.of.the.stem.diameter.measurement.protocol..e.g...all.measurements.are.at.breast.height.above.ground.or.buttress...,d.stem.protocol
What.is.the.size.threshold.that.defines.whether.trees.are.included.in.the.sample..e.g......10.cm.diameter.at.breast.height...,mindiam
In.what.coordinate.system.are.the.data.georeferenced..If.UTM..specify.zone..Please.provide.the.epsg.code.if.known..For.a.list.of.epsg.codes..see.http...spatialreference.org.ref.epsg.,field.coord.sys
What.plot.layout.was.used.,p.layout
Please.briefly.describe.the.plot.layout.you.used.,p.layout.details
What.plot.shape.was.used.,p.shape
Was.tree.height.measured.or.modeled.,h.t.meas
How.was.aboveground.biomass.estimated.,biomass.method
What.scaling.equation.was.used.to.estimate.biomass.,biomass.equation
Were.tree.species.identified.,tree.id
To.what.taxonomic.level.were.trees.identified.,tree.id.level
Was.live.dead.status.reported.,tree.status
How.did.you.record.live.and.dead.trees..e.g..0.for.dead.trees..,tree.status.details
Were.wood.density.measurements.made.,tree.wood.dens
What.type.of.information.are.you.providing.,data.level
Were.individual.trees.mapped.,tree.map
If.you.mapped.individual.trees..we.would.appreciate.it.if.you.could.share.the.georeferenced.tree.maps..e.g..as.a.shapefile...You.can.upload.tree.maps.to.our.dropbox.folder.and.then.continue.with.the.form..https...www.dropbox.com.request.P0CEOzzOrlpkQSBT2mf1,remove
Data.form.field.descriptors..If.you.have.a.file.that.describes.the.information.contained.in.the.columns.or.fields.of.your.data.forms..you.can.upload.it.here.https...www.dropbox.com.request.P0CEOzzOrlpkQSBT2mf1..It.will.help.us.understand.how.your.data.is.organized.,remove
Are.you.sharing.airborne.LiDAR.data.with.us.,lidar.share
LiDAR.Data.Use.Restrictions,lidar.restrictions
Please.describe.LiDAR.data.use.restrictions.,lidar.restrictions.details
Are.you.willing.to.share.the.extent.of.your.lidar.acquisitions.with.ESA..s.Forest.Observation.System..FOS..as.well.as.meta.data.related.to.your.lidar.so.that.other.researchers.interested.in.collaborating.with.lidar.data.can.contact.you.,lidar.fos.sharing
If.you.answered.yes.to.the.previous.question..please.provide.an.email.address.for.researchers.to.contact.you.regarding.collaboration.,lidar.fos.contact
Date.of.airborne.LiDAR.acquisition,lidar.date
What.LiDAR.sensor.was.used.,lidar.sensor
Please.write.the.name.of.the.sensor.you.used.if.it.is.not.in.the.dropdown.list.,lidar.sensor.write
In.what.coordinate.system.are.the.data.georeferenced..If.UTM..specify.zone..Please.provide.the.epsg.code.if.known..For.a.list.of.epsg.codes..see.http...spatialreference.org.ref.epsg..1,lidar.coord.sys
Are.the.data.projected.relative.to.an.ellipsoidal.or.geoidal.reference.frame.,lidar.proj
What.was.the.nominal.flight.altitude..Please.specify.units.of.measurement.,lidar.alt
What.level.of.classification.has.been.performed.on.the.data.,lidar.classification
Have.the.data.been.subject.to.any.quality.control.or.field.validation.,lidar.qc
If.so..please.describe.in.brief.data.quality.control.or.validation.activities.,lidar.qc.details
Are.you.also.able.to.share.full.waveform.LiDAR.data..If.so..please.contact.armston.umd.edu.or.your.original.GEDI.contact.person.to.arrange.data.transfer.,lidar.waveform
Email.address.for.point.of.contact.,email.contact
What.is.the.size.threshold.that.defines.whether.trees.are.included.in.the.sample.,mindiam
How.did.you.record.live.and.dead.trees,tree.status.details
Please.write.the.name.of.the.sensor.you.used.,lidar.sensor.write
