lookupProject,newVariable,newValue,source
australia_smapex,citation,Tanase et al. 2014 Forest Biomass Estimation at High Spatial Resolution Radar vs. Lidar sensors; Tanase et al. 2014 Airborne multi-temporal L-band polarimetric SAR data for biomass estimation in semi-arid forests,Christoph Rudiger
borneo_mawas,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
borneo_rmurezal,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
borneo_rodemas,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
borneo_sindolumber,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
borneo_sumalindo,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
borneo_timberdana,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
borneo_tuanam,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
borneo_usfs,affiliation.details,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",Antonio Ferraz
england_newforest,affiliation.details,"Dr Ross Hill, Bournemouth University; Dr Matthew Sumnall, formerly Bournemouth University, and now Virginia Polytechnic Institute and State University",Ross Hill
frenchguiana_chave,citation,"Labriere, N., Tao, S., Chave, J., Scipal, K., Le Toan, T., Abernethy, K., ... & Davies, S. J. (2018). In situ reference datasets from the TropiSAR and AfriSAR campaigns in support of upcoming spaceborne biomass missions.?IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, (99), 1-11. DOI: 10.1109/JSTARS.2018.2851606. https://ieeexplore.ieee.org/document/8417912",Nicolas Labriere
gabon_ird,citation,"Labriere, N., Tao, S., Chave, J., Scipal, K., Le Toan, T., Abernethy, K., ... & Davies, S. J. (2018). In situ reference datasets from the TropiSAR and AfriSAR campaigns in support of upcoming spaceborne biomass missions. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, (99), 1-11. DOI: 10.1109/JSTARS.2018.2851606. https://ieeexplore.ieee.org/document/8417912",Nicolas Barbier
mexico_nfi,citation,"Urbazaev, M., Thiel, C., Cremer, F., Dubayah, R., Migliavacca, M., Reichstein, M., & Schmullius, C. (2018). Estimation of forest aboveground biomass and uncertainties by integration of field measurements, airborne LiDAR, and SAR and optical satellite data in Mexico.?Carbon balance and management,?13(1), 5. https://doi.org/10.1186/s13021-018-0093-5",Laura Duncanson
peru_tambopata,affiliation.details,"Dr. Ross Hill, Bournemouth University, UK; Dr. Chris Hopkinson, University of Lethbridge, Canada; Dr Doreen Boyd, University of Nottingham, UK",Ross Hill
usa_cflra,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_clearcreek,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_colville,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_damon,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_dcef,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_fernan,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_fitsum,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_moscowmtn,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_nezperce,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_pref,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_pref_fia,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_slatecreek,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_stanley,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_stjoe,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_tepeecreek,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_upperlolo,email.contact,patrick.fekety@colostate.edu,Patrick Fekety
usa_cflra,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_clearcreek,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_colville,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_damon,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_dcef,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_fernan,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_fitsum,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_moscowmtn,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_nezperce,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_pref,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_pref_fia,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_slatecreek,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_stanley,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_stjoe,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_tepeecreek,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
usa_upperlolo,tree.status.details,Live trees: 0-5; dead trees: 6-9 ,Patrick Fekety
germany_traunstein,lidar.date,8/25/2016,Nikolai Knapp
peru_tambopata,field.date,9/30/2011,Oliver Phillips
peru_tambopata,lidar.date,6/7/2009,"Hill, R. A., Boyd, D. S., & Hopkinson, C. (2011). Relationship between canopy height and Landsat ETM+ response in lowland Amazonian rainforest. Remote Sensing Letters, 2(3), 203-212. http://dx.doi.org/10.1080/01431161.2010.510810"
peru_tambopata,lidar.sensor,Leica ALS50-II,"Hill, R. A., Boyd, D. S., & Hopkinson, C. (2011). Relationship between canopy height and Landsat ETM+ response in lowland Amazonian rainforest. Remote Sensing Letters, 2(3), 203-212. http://dx.doi.org/10.1080/01431161.2010.510811"
peru_tambopata,lidar.alt,1600 m,"Hill, R. A., Boyd, D. S., & Hopkinson, C. (2011). Relationship between canopy height and Landsat ETM+ response in lowland Amazonian rainforest. Remote Sensing Letters, 2(3), 203-212. http://dx.doi.org/10.1080/01431161.2010.510812"
peru_tambopata,lidar.classification,"Level 1 - fully or semi-automated batch processing of the point cloud data into the following classes: ground, vegetation, buildings/structures, low/high points and noise, water","Hill, R. A., Boyd, D. S., & Hopkinson, C. (2011). Relationship between canopy height and Landsat ETM+ response in lowland Amazonian rainforest. Remote Sensing Letters, 2(3), 203-212. http://dx.doi.org/10.1080/01431161.2010.510813"
peru_tambopata,lidar.qc,Yes,"Hill, R. A., Boyd, D. S., & Hopkinson, C. (2011). Relationship between canopy height and Landsat ETM+ response in lowland Amazonian rainforest. Remote Sensing Letters, 2(3), 203-212. http://dx.doi.org/10.1080/01431161.2010.510814"
