study.id,gedi.project
Val_di_Sella,italy_sella
"Bavaria Forest National Park, Germany",
Tour du Valat,
Kruger National Park,
New Forest (Denny Wood),england_newforest
Danum Valley,malaysia_danumcoomes
Harvard Forest Megaplot in Petersham. MA,usa_harvard
Froschham,
Bialowieza,poland_bialowieza
Tambopata,peru_tambopata
Piaui State,
Danum Valley Boyd,malaysia_boyd
Choc??,colombia_choco
Khao Yai,
Santa Rosa,costarica_santarosa
CascadeEastZone,usa_cascadeeastzone
CFLRA,usa_cflra
ClearCreek Fekety,usa_clearcreek
ColvilleNF2016,usa_colville
Damon,usa_damon
DCEF_NFP,usa_dcef
Fernan,usa_fernan
Fitsum,usa_fitsum
MoscowMtn2003,usa_moscowmtn
MoscowMtn2009,usa_moscowmtn
NezPerce,usa_nezperce
PREF_2011,usa_pref
PREF_FIA2011,usa_pref_fia
Sanchez2016,
SlateCreek,usa_slatecreek
Stanley,usa_stanley
StJoe,usa_stjoe
TepeeCreek,usa_tepeecreek
UpperLolo,usa_upperlolo
Basc Country,
Soria I,spain_soria_i
Soria II,spain_soria_ii
Jaen,
Valsan,spain_valsaindemiguel
Monfrage,spain_monfrague
FOR,italy_trentino
AREAINV,
LAV_TORRE,
NOURAGUES,frenchguiana_chave
PARACOU,frenchguiana_chave
ClearCreek,usa_clearcreekselway
SelwayRiverElkCreek,usa_clearcreekselway
25 circular plots,spain_valsaincircle
6 rectangular plots,spain_valsainrect
1 (ICOS),
2 (-),
Australia,australia_ausplotsforests
Yanco,australia_smapex
La Selva Biological Station,costarica_chazdon
Yangambi,drc_kearsley
Traunstein,germany_traunstein
Nationwide coverage,newzealand_forestservice
Liwale,tanzania_liwale
Amani Nature Reserve,tanzania_amani
Zofin,czechrepublic_zofin
Sonoma County,usa_sonoma
Sonoma County,usa_sonoma2017_frp
Sonoma County,usa_sonoma2017_vrp
Sonoma County,usa_sonoma2018
Australia,
Yanco,
Mabounie,gabon_ird
Laegern,switzerland_laegeren
The Injune Landscape Collaborative Project,australia_ilcp2015
Robson Creek Rainforest SuperSite,australia_robsoncreek
"Mondah Forest, Gabon - AfriSAR Campaign",gabon_mondah
Barro Colorado Island 50-ha plot,panama_bci
Teakettle Experimental Forest,usa_sierra
Petrolina,
"Department of Forest Sciences, University of Helsinki",
Province of New Brunswick,
Hainich National Park,
Soroe,
Petawawa Research Forest,canada_petawawa
Scepter Zone and Southern Chile,
North-Est South AFrica (Lowveld),
Choco,colombia_choco
