variable,units,group,type,has_methods,essential,label,minValue,maxValue,allowableValues,description
plot,NA,key,character,FALSE,TRUE,plot,NA,NA,NA,name of plot
subplot,NA,key,character,FALSE,FALSE,subplot,NA,NA,NA,subplot identifier
survey,NA,key,character,FALSE,TRUE,survey,NA,NA,NA,name of survey event
private,NA,plot,numeric,FALSE,TRUE,private,0,1,"0,1","data privacy (1=private, 0=public)"
date,NA,plot,character,FALSE,TRUE,date,NA,NA,NA,date of survey event
region,NA,plot,character,FALSE,FALSE,region,NA,NA,"Eu,As,Au,US,SA,Af,SEAs",region of plot location: Eu=Europe; As=Asia; Au=Australia/New Zealand; Af=Africa; SEAsia=South East Asia; SA=South/Central America; US=United States)
vegetation,NA,plot,character,FALSE,FALSE,vegetation,NA,NA,"Sav,TropRF,TempRF,TropSF,TempF,BorF,Wo,Gr,Sh,De",vegetation type where sampled: Sav = Savannah; TropRF = Tropical rainforest; TempRF = Temperate rainforest; TropSF = Tropical seasonal forest; TempF = Temperate forest; BorF = Boreal forest; Wo = Woodland; Gr = Grassland; Sh = Shrubland; De = Desert
map,mm,plot,numeric,FALSE,FALSE,map,100,12000,NA,mean annual rainfall
mat,deg,plot,numeric,FALSE,FALSE,mat,-20,40,NA,mean annual temperature
pft.modis,NA,plot,character,FALSE,FALSE,pft.modis,NA,NA,NA,plant functional type from the nearest MCD12Q1 LC_Type5 product date
pft.name,NA,plot,character,FALSE,FALSE,pft.name,NA,NA,NA,plant functional typei MCD12Q1 LC_Type5 categories from field descriptions or other ancillary data
pft.type1,NA,plot,character,FALSE,FALSE,pft.modis,NA,NA,NA,plant functional type from the nearest MCD12Q1 LC_Type1 product date
pft.type1.name,NA,plot,character,FALSE,FALSE,pft.modis,NA,NA,NA,plant functional typei MCD12Q1 LC_Type1 categories from field descriptions or other ancillary data
wwf.ecoregion,NA,plot,character,FALSE,FALSE,pft.name,NA,NA,NA,Terrestrial ecoregion from the WWF Olson et al. (2004) terrestrial ecoregions of the globe
latitude,deg,plot,numeric,FALSE,TRUE,latitude,-90,90,NA,latitude of location where sampled (-90 to 90 deg South to North)
longitude,deg,plot,numeric,FALSE,TRUE,longitude,-180,180,NA,longitude of location where sampled (-180 to 180 deg West to East)
p.sample,NA,plot,numeric,FALSE,TRUE,sample,0,1,"0,1,2,3",subplot type: 0=independent fixed area plots; 1=variable area plots; 2=multiple fixed area plots for aggregation; 3=variable radius sampling
p.stemmap,NA,plot,numeric,FALSE,TRUE,stem mapped,0,1,"0,1","stem mapped plot (1=TRUE,0=FALSE)"
p.origin,NA,plot,character,FALSE,TRUE,origin,NA,NA,"C,SW,NW,NE,SE","origin of the plot, SW has to be interpreted as the lower left corner relative to the orientation"
p.orientation,deg,plot,numeric,TRUE,FALSE,orientation,0,360,NA,orientation of plot degrees clockwise from UTM map grid north
