"","taxonID","plotID","individualID","tempStemID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","dendrometerInstallationDate","initialGapMeasurementDate","initialBandStemDiameter","initialDendrometerGap","dendrometerHeight","dendrometerGap","dendrometerCondition","bandStemDiameter","remarks.x","recordedBy","measuredBy","dataQF","uid.y","namedLocation.y","date.y","eventID.y","domainID.y","siteID.y","plotID.y","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","recordType","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion.x","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks.y","measuredBy.y","recordedBy.y","dataQF.y","status","c.w","tree.date","species","SpeciesJenkins","FIACode","FVSCode","PlantsSymbol","CommonName","ScientificName","allom.key","allom.name","allom.region","allom.model","d.stem.max","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","key.x","uid","namedLocation","date","domainID","siteID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","easting","northing","utmZone","elevation","elevationUncertainty","samplingImpractical","eventID","eventType","dataCollected","subplotsSampled","samplingProtocolVersion.y","targetTaxaPresent","woodyTargetTaxaPresent","nonWoodyTargetTaxaPresent","treesPresent","treesAbsentList","shrubsPresent","shrubsAbsentList","lianasPresent","lianasAbsentList","nestedSubplotAreaShrubSapling","nestedSubplotAreaLiana","totalSampledAreaTrees","totalSampledAreaShrubSapling","totalSampledAreaLiana","remarks.y.y","l.date","l.project","key.y"
"1","PSMEM","ABBY_061","NEON.PLA.D16.ABBY.00709",NA,"ok","single bole tree","Live",16.4,130,"noChange",9.6,NA,NA,NA,4.3,3.7,"Partially shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0003-0562-3007","0000-0001-8510-4041",NA,"181c16fa-3efa-4452-ac66-87e9c0756c6d","ABBY_061.basePlot.vst","2015-07-29","vst_ABBY_2015","D16","ABBY","ABBY_061",21,1,21,5.9,16.6,"","","","NEON.DOC.000987vE","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","krian@neoninc.org","lwade@field-ops.org",NA,1,4,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_061_vst_ABBY_2020","11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_061_vst_ABBY_2020"
"2","PSMEM","ABBY_070","NEON.PLA.D16.ABBY.03378",NA,"ok","single bole tree","Live",14.7,130,"noChange",9.7,NA,NA,NA,4,3.2,"Partially shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0002-7203-5072","0000-0003-0562-3007",NA,"f0d3dc4a-2bda-41fe-aa93-36f928e9ace9","ABBY_070.basePlot.vst","2018-07-31","vst_ABBY_2018","D16","ABBY","ABBY_070",39,NA,49,3,141.8,"","","","NEON.DOC.000987vG","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","klazarus@battelleecology.org","ccordell@battelleecology.org",NA,1,3.6,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_070_vst_ABBY_2020","8b88ad30-ba5a-4e07-ac8d-2be764c6c3e0","ABBY_070.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.761334,-122.330793,"WGS84",20.1,552040.56,5067748.36,"10N",363.1,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_070_vst_ABBY_2020"
"3","PSMEM","ABBY_061","NEON.PLA.D16.ABBY.03853",NA,"ok","single bole tree","Live",13.2,130,"noChange",8.2,NA,NA,NA,4.1,3.9,"Partially shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0003-0562-3007","0000-0001-8510-4041",NA,"cfe54f38-1ff0-4295-bddd-fc513bd9b041","ABBY_061.basePlot.vst","2019-10-22","vst_ABBY_2019","D16","ABBY","ABBY_061",21,NA,23,2.9,271.5,"map and tag","","","NEON.DOC.000987vH","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","0000-0001-8397-9370","0000-0001-9932-2330",NA,1,4,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_061_vst_ABBY_2020","11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_061_vst_ABBY_2020"
"4","PSMEM","ABBY_061","NEON.PLA.D16.ABBY.00725",NA,"ok","single bole tree","Live",13.8,130,"noChange",9.8,NA,NA,NA,3.5,3.4,"Mostly shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0003-0562-3007","0000-0001-8510-4041",NA,"9c6d9612-c477-4615-8081-317f3ce325a4","ABBY_061.basePlot.vst","2015-07-29","vst_ABBY_2015","D16","ABBY","ABBY_061",21,4,41,7.7,221,"","","","NEON.DOC.000987vE","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","krian@neoninc.org","lwade@field-ops.org",NA,1,3.45,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_061_vst_ABBY_2020","11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_061_vst_ABBY_2020"
"5","PSMEM","ABBY_061","NEON.PLA.D16.ABBY.00702",NA,"ok","single bole tree","Live",12.7,130,"noChange",10.7,NA,NA,NA,3.7,3.3,"Partially shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0003-0562-3007","0000-0001-8510-4041",NA,"5c87e111-1c8e-421d-9ec9-8f650c37bb24","ABBY_061.basePlot.vst","2015-07-29","vst_ABBY_2015","D16","ABBY","ABBY_061",21,1,21,2.2,20.3,"","","","NEON.DOC.000987vE","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","krian@neoninc.org","lwade@field-ops.org",NA,1,3.5,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_061_vst_ABBY_2020","11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_061_vst_ABBY_2020"
"6","PSMEM","ABBY_070","NEON.PLA.D16.ABBY.00747",NA,"ok","single bole tree","Live",13.4,130,"noChange",9.1,NA,NA,NA,4.2,4.2,"Partially shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0002-2759-254X","0000-0001-9521-413X",NA,"08f4fd10-3acb-4b49-82cb-eaeef609b5d3","ABBY_070.basePlot.vst","2018-07-31","vst_ABBY_2018","D16","ABBY","ABBY_070",21,1,21,2.7,70.5,"","","","NEON.DOC.000987vG","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","ccordell@battelleecology.org","klazarus@battelleecology.org",NA,1,4.2,2020-09-24,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_070_vst_ABBY_2020","8b88ad30-ba5a-4e07-ac8d-2be764c6c3e0","ABBY_070.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.761334,-122.330793,"WGS84",20.1,552040.56,5067748.36,"10N",363.1,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_070_vst_ABBY_2020"
"7","PSMEM","ABBY_070","NEON.PLA.D16.ABBY.03372",NA,"ok","single bole tree","Live",17.9,130,"noChange",10.5,NA,NA,NA,5.1,4.8,"Partially shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0002-7203-5072","0000-0003-0562-3007",NA,"3ce584db-164d-4cb9-9903-02253e975228","ABBY_070.basePlot.vst","2018-07-31","vst_ABBY_2018","D16","ABBY","ABBY_070",39,NA,41,2.7,343.6,"","","","NEON.DOC.000987vG","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","klazarus@battelleecology.org","ccordell@battelleecology.org",NA,1,4.95,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_070_vst_ABBY_2020","8b88ad30-ba5a-4e07-ac8d-2be764c6c3e0","ABBY_070.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.761334,-122.330793,"WGS84",20.1,552040.56,5067748.36,"10N",363.1,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_070_vst_ABBY_2020"
"8","PSMEM","ABBY_061","NEON.PLA.D16.ABBY.00531",NA,"ok","single bole tree","Live",13.8,130,"noChange",6.4,NA,NA,NA,4.2,4.2,"Partially shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0003-2593-761X","0000-0002-0205-7735",NA,"cc8c30e7-9ec5-4450-8b69-b9a121dc8252","ABBY_061.basePlot.vst","2019-10-22","vst_ABBY_2019","D16","ABBY","ABBY_061",39,NA,39,1.9,34.3,"map and tag","","","NEON.DOC.000987vH","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","0000-0001-8510-4041","0000-0003-2593-761X",NA,1,4.2,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_061_vst_ABBY_2020","11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_061_vst_ABBY_2020"
"9","PSMEM","ABBY_061","NEON.PLA.D16.ABBY.00728",NA,"ok","single bole tree","Live",14.5,130,"noChange",10.4,NA,NA,NA,4.6,4.4,"Mostly shaded","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0000-0003-0562-3007","0000-0001-8510-4041",NA,"df5968e9-d6ad-4b00-b9f3-f0ec6233778e","ABBY_061.basePlot.vst","2015-07-29","vst_ABBY_2015","D16","ABBY","ABBY_061",21,4,41,11.1,214.3,"","","","NEON.DOC.000987vE","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","","krian@neoninc.org","lwade@field-ops.org",NA,1,4.5,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_061_vst_ABBY_2020","11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_061_vst_ABBY_2020"
"10","PSMEM","ABBY_061","NEON.PLA.D16.ABBY.00660",NA,"ok","single bole tree","Dead, broken bole",41.6,130,"noChange",3.4,NA,3.4,10,0.6,0.4,"Full sun","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cause of death unknown","0000-0003-2593-761X","0000-0002-0205-7735",NA,"91dac72d-6b44-43a4-834e-223e08d9f00c","ABBY_061.basePlot.vst","2016-08-16","vst_ABBY_2016","D16","ABBY","ABBY_061",39,3,49,9.8,330.2,"","","","NEON.DOC.000987vE","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,NA,NA,"","pointID not recorded in 2015","jzemaitis@neoninc.org","bgorzek@field-ops.org",NA,0,0.5,2020-09-23,"Pseudotsuga menziesii var. menziesii","mh",NA,"PSMEM","","Douglas-fir","Pseudotsuga menziesii var. menziesii",5,"jenkins2003","USA",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBY_061_vst_ABBY_2020","11747686-bb34-4a45-8b5c-ce1766d6d657","ABBY_061.basePlot.vst",2020-08-26,"D16","ABBY","tower","evergreenForest",45.762451,-122.331158,"WGS84",20.1,552011.14,5067872.22,"10N",362.8,0.1,"OK","vst_ABBY_2020","towerSubset","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","Y","Y","presentInAll","Y","presentInAll","N",NA,100,"noneSelected",800,400,800,"Ferns present but not sampled AY20.",2021,"neon_abby2021","ABBY_061_vst_ABBY_2020"
