"area.code","time","when","main","split","stage","dist.type","dist.year","dist.ed22","dist.age","leitold","treeid","common.name","scientific.name","family.name","type","ident","poly","cnpj","area","total.area","dbh.cutoff","lon","lat","UTM.Easting","UTM.Northing","X","Y","CA","RE","RN","RW","RS","D.class","light","canopy","gf.WSD","gf.crown","gf.htot","farea","WSD","DBH","size","BA","AGC","AE.AGC","ME.AGC","LNAGC","SD.LNAGC","VOL","Dead","Hcom","Htot","pft","colour","cex","ndead","nplant","ntotal","flgsz","gtstd","tree.date","identifier","longitude","latitude","count","stn.palace","agb.chave","acd.chave","se.agb.measurement","se.agb.allometry","se.agb.sampling","se.agb.census","se.acd.measurement","se.acd.allometry","se.acd.sampling","se.acd.census","volume","basal.area","crown.area","canopy.hgt","lorey.hgt","wood.dens","nplant.std","ba.std","ca.std","agb.std","acd.std","nplant.shape","nplant.scale","lorey.hgt.std","wood.dens.std","nplant.005.010","ba.005.010","ca.005.010","agb.005.010","acd.005.010","nplant.010.020","ba.010.020","ca.010.020","agb.010.020","acd.010.020","nplant.020.035","ba.020.035","ca.020.035","agb.020.035","acd.020.035","nplant.035.055","ba.035.055","ca.035.055","agb.035.055","acd.035.055","nplant.055.Inf","ba.055.Inf","ca.055.Inf","agb.055.Inf","acd.055.Inf","date"
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",1,"morta",NA,NA,"O",1,"P01_B01_050x050m","T01_P01_U0001z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296471.6252,9718217.154,3,5.5,0.031415927,0.1,0.1,0.1,0.1,2,NA,NA,0,1,0,1,0.696,13,"010-020",132.7322896,32.12174847,11.84273301,4.056658439,3.405808823,0.357,0.092303875,TRUE,NA,7.9,3,"chartreuse4",0.439575436,0.003812646,0,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",2,"morta",NA,NA,"O",1,"P01_B01_050x050m","T01_P01_U0002z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296474.207,9718214.32,1.8,9,0.031415927,0.1,0.1,0.1,0.1,2,NA,NA,0,1,0,1,0.696,21,"020-035",346.3605901,66.92984574,24.67587635,7.67577633,4.139920492,0.357,0.192327143,TRUE,NA,6,3,"chartreuse4",0.548749052,0.003812646,0,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",3,"envira preta","Guatteria schomburgkiana","Annonaceae","O",1,"P01_B01_050x050m","T01_P01_U0003z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296475.731,9718211.616,1.5,12,2.968805058,0.8,1.1,1,1,NA,1,"S",10,0,0,1,0.6,11.6,"010-020",105.6831769,12.79398008,4.71691914,2.203621097,2.485250254,0.357,0.0426466,FALSE,3.17,5.45,2,"chartreuse",0.420470053,0,0.003812646,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",4,"iperana","Eperua bijuga","Fabaceae","O",1,"P01_B01_050x050m","T01_P01_U0004z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296473.7785,9718209.724,4,13,11.62389282,1.8,1.4,2.2,2.3,NA,1,"S",10,0,0,1,0.729,142,"055-Inf",15836.76857,3920.75738,1445.515423,172.0475659,8.210315623,0.357,10.75653602,FALSE,6.21,10.56,3,"chartreuse4",2.2,0,0.00037923,0.00037923,1,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",5,"morta",NA,NA,"O",1,"P01_B01_050x050m","T01_P01_U0005z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296478.0885,9718208.032,0.8,16.1,0.031415927,0.1,0.1,0.1,0.1,2,NA,NA,0,1,0,1,0.696,15.3,"010-020",183.8538561,41.05397615,15.13589084,5.028560389,3.651163192,0.357,0.117971196,TRUE,NA,7.16,3,"chartreuse4",0.470962851,0.003812646,0,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",6,"jatereu","Lecythis idatimon","Lecythidaceae","O",1,"P01_B01_050x050m","T01_P01_U0006z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296481.0013,9718202.683,0.3,22,10.88561854,1.7,2,1.6,2.2,NA,1,"E",10,0,0,1,0.799,41.5,"035-055",1352.651987,939.9486249,346.5427984,44.74385796,6.782100719,0.357,2.352812578,FALSE,16.49,26.11,3,"chartreuse4",0.828506444,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",7,"acai","Euterpe oleracea","Arecaceae","P",1,"P01_B01_050x050m","T01_P01_U0007z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296481.084,9718202.495,0.3,22.2,11.0689326,1.87705905,1.87705905,1.87705905,1.87705905,NA,1,"E",10,1,0,1,0.39,11.6,"010-020",105.6831769,15.92391601,10.23402259,0.075454652,2.594950131,0.588,0.081661108,FALSE,NA,5.22,2,"chartreuse",0.420470053,0,0.003812646,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",8,"lacre","Vismia guianensis","Hypericaceae","O",1,"P01_B01_050x050m","T01_P01_U0008z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296477.6213,9718200.98,4,22.3,11.30973355,1.7,1.5,2.3,2.1,NA,1,"E",10,0,0,1,0.475,10.6,"010-020",88.24733764,11.6652721,4.300784035,1.823645208,2.392891732,0.357,0.049116935,FALSE,3.71,7.5,2,"chartreuse",0.406823351,0,0.003812646,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",9,"morta",NA,NA,"O",1,"P01_B01_050x050m","T01_P01_U0009z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296481.5953,9718192.956,3.6,31,0.031415927,0.1,0.1,0.1,0.1,3,NA,NA,0,1,0,1,0.587,18.1,"010-020",257.3042923,20.22201558,7.455507338,3.840093986,2.943047391,0.357,0.068899542,TRUE,NA,2.46,2,"chartreuse",0.509173616,0.003812646,0,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",10,"tachi branco","Tachigali paniculata","Fabaceae","O",1,"P01_B01_050x050m","T01_P01_U0010z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296488.315,9718186.836,0,39,84.1161433,5.2,2.6,6.7,6.4,NA,1,"E",10,0,0,1,0.554,57,"055-Inf",2551.758633,1786.808931,658.7655438,81.18855152,7.424462088,0.357,6.450573756,FALSE,26.28,38.55,2,"chartreuse",1.040030326,0,0.00037923,0.00037923,1,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",11,"maravuvuia","Croton matourensis","Euphorbiaceae","O",1,"P01_B01_050x050m","T01_P01_U0011z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296488.3847,9718177.767,3.5,47.2,6.126105675,1.2,1.6,1.8,1,NA,1,"S",10,0,0,1,0.388,10.8,"010-020",91.60884178,13.88114181,5.117736865,1.881764652,2.566806715,0.357,0.071552277,FALSE,7.69,10.57,2,"chartreuse",0.409552691,0,0.003812646,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",12,"morta",NA,NA,"O",1,"P01_B01_050x050m","T01_P01_U0012z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296491.8467,9718178.307,0.2,48,0.031415927,0.1,0.1,0.1,0.1,3,NA,NA,0,1,0,1,0.587,11.5,"010-020",103.8689071,11.1210377,4.100134225,2.1900371,2.345114103,0.357,0.037891099,TRUE,NA,3.59,2,"chartreuse",0.419105383,0.003812646,0,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",13,"embauba vermelha","Cecropia distachya","Urticaceae","O",1,"P01_B01_050x050m","T01_P01_U0013z",262.2850219,2636.919079,10,-46.83059321,-2.548232448,296492.5496,9718176.71,0.2,49.7,4.71238898,1,1.5,1.4,1,NA,2,"S",11,0,0,1,0.339857143,11,"010-020",95.03317777,13.71517099,5.056546293,1.820135579,2.554778092,0.357,0.080711389,FALSE,9.04,11.49,2,"chartreuse",0.412282032,0,0.003812646,0.003812646,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND_A01",2013,"8/22/2013","P01","B01","unknown","UKN00","#NAME?",3,60,"CVL1999+BRN2009",14,"breu barrote","Tetragastris panamensis","Burseraceae","O",1,"P01_B01_050x050m","T01_P01_U0014z",2636.919079,2636.919079,10,-46.83059321,-2.548232448,296464.4028,9718177.587,25,38.5,42.3800849,2.3,3.2,4.8,4.4,NA,2,"S",10,0,0,1,0.717,44.8,"035-055",1576.32553,555.2798957,204.7220921,32.91677742,6.255747803,0.357,1.548897896,FALSE,9.99,14.56,3,"chartreuse4",0.873540561,0,0.00037923,0.00037923,0,1,2013-08-22,"P01_B01_050x050m",-46.83059321,-2.548232448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
