uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"4017e8e6-2dc1-4fef-810f-c4ca3538e135","ABBY_061.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_061","NEON.PLA.D16.ABBY.00942","1","ok","sapling","Live, physically damaged",,,"noChange",1.2,,,,,,"Full shade",,2.0,10,,,,,,,,,,,"Thinned","0000-0003-2593-761X","0000-0002-0205-7735",
"3be34824-25dc-4697-92bd-326ef729d0bc","ABBY_061.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_061","NEON.PLA.D16.ABBY.03764",,"ok","single bole tree","Live,  other damage",13.5,130,"noChange",9.3,,,,3.7,3.6,"Mostly shaded",,,,,,,,,,,,,,"Oozing sap","0000-0003-0562-3007","0000-0001-8510-4041",
"19fbe1a2-bd22-42e1-b085-aa5b5bd20b4f","ABBY_061.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_061","NEON.PLA.D16.ABBY.00893","9","ok","small shrub","Live, physically damaged",,,"noChange",,,,,,,,"oblate half-sphere",1.2,10,,,,,,,,,,,,"0000-0003-0562-3007","0000-0001-8510-4041",
"07f7c2bc-08fd-47c3-b5f8-a5f738423ab1","ABBY_070.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_070","NEON.PLA.D16.ABBY.00977","2","ok","single shrub","Live",2.4,130,"noChange",,,,,,,,"inverted cone",3.4,10,0.50,0.30,,,,,,,,,,"0000-0002-7203-5072","0000-0003-0562-3007",
"b0e4493f-1dc2-4845-8fc6-7a540033e6b9","ABBY_061.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_061","NEON.PLA.D16.ABBY.00646","1","ok","sapling","Live, physically damaged",,,"noChange",0.9,,,,,,"Full shade",,2.3,10,,,,,,,,,,,"Thinned","0000-0003-2593-761X","0000-0002-0205-7735",
"6026cf6c-ea77-4e69-96a7-2cf1e441039a","ABBY_070.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_070","NEON.PLA.D16.ABBY.00955","2","ok","small tree","Live",1.9,130,"noChange",,,,,,,,,,,,,,,,,,,,,,"0000-0002-7203-5072","0000-0003-0562-3007",
"3005690a-4270-46fd-91bc-41a601f2c10c","ABBY_061.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_061","NEON.PLA.D16.ABBY.00893","4","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"oblate half-sphere",2.8,10,,,,,,,,,,,,"0000-0003-0562-3007","0000-0001-8510-4041",
"c5014f6b-cec5-47f5-b970-490a3fb74885","ABBY_070.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_070","NEON.PLA.D16.ABBY.00954","1","ok","small tree","Live",1.2,130,"noChange",4.8,,,,3.3,2.4,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-7203-5072","0000-0003-0562-3007",
"fe433f76-fede-4e9d-8ff8-177a4237d5c0","ABBY_070.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_070","NEON.PLA.D16.ABBY.00953","1","ok","small tree","Live",2.2,130,"noChange",4.0,,,,2.2,1.7,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-7203-5072","0000-0003-0562-3007",
"ecc1ef05-9d8c-40cc-a5dd-5f675fefea25","ABBY_070.basePlot.vst","2020-09-23","vst_ABBY_2020","D16","ABBY","ABBY_070","NEON.PLA.D16.ABBY.00671","1","ok",,"Lost, fate unknown",,,"noChange",,,,,,,,,,,,,,,,,,,,,,"0000-0002-7203-5072","0000-0003-0562-3007",
