uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"f5c31366-555e-4f8d-bcd8-b45531f16c21","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00439",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"31ebef5e-fbde-44e8-8b86-a723997b7e0a","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00423",,,"NEON.DOC.000987vE","ACCI","Acer circinatum Pursh","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"cbc6ead5-dc8a-4639-b42f-c4b268c34404","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00473",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"efdf2c25-6fb2-4bdf-ac93-f8101813b265","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",12.2,94.6,,"NEON.PLA.D16.ABBY.00440",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"897a4681-83aa-45ae-b839-d60252b4fdd9","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",7.4,94.8,,"NEON.PLA.D16.ABBY.00453",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"4a5bd876-8e4a-41b3-aed2-306384b723e5","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00468",,,"NEON.DOC.000987vE","AMAL2","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","species",,,,,"Previously mis-identified as Spirea douglasii var douglasii","Jzemaitis@battelleecology.org","ccordell@battelleecology.org",
"4672b835-f54f-4ca7-bc64-655eb8c95e20","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00471",,,"NEON.DOC.000987vE","VAPA","Vaccinium parvifolium Sm.","species",,,,,"Merged as second bole with tag 470 per revG","krian@neoninc.org","kzias@field-ops.org",
"72e04d28-7e70-418b-bd55-bb7cc188b7a7","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",21.0,65.4,,"NEON.PLA.D16.ABBY.00418",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"83182abb-f753-42db-9840-2deedbb7bd32","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",5.4,49.5,,"NEON.PLA.D16.ABBY.00411",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"cff75bf0-329f-4c41-9b9c-c37bb3403963","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00460",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"2954870c-0964-4975-bb40-88074bb1d705","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",16.2,88.6,,"NEON.PLA.D16.ABBY.00406",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"975aa0c2-df16-4200-b780-6717212369fb","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00432",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"8e1625fe-1cea-43ac-9937-8bd1af2062e6","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",16.5,29.5,,"NEON.PLA.D16.ABBY.00448",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
