species,allom.name
Acacia dealbata,Single stemmed acacia trees
Acacia dealbata US,@UniversalSmall
Acacia maidenii,Multi-stemmed acacias and mallees
Acacia melanoxylon,Single stemmed acacia trees
Acacia melanoxylon US,@UniversalSmall
Acacia mucronata,Multi-stemmed acacias and mallees
Acacia pentadenia,Multi-stemmed acacias and mallees
Acacia schinoides,Single stemmed acacia trees
Acacia sp.,Multi-stemmed acacias and mallees
Acacia verticillata,Multi-stemmed acacias and mallees
Acmena smithii,Other trees - high wood density
Agonis flexuosa,Other trees - high wood density
Allocasuarina decussata,Other trees - high wood density
Allocasuarina torulosa,Other trees - high wood density
Alphitonia excelsa,Shrubs
Anopterus glandulosus,Other trees - high wood density
Archirhodomyrtus beckleri,Other trees - high wood density
Atherosperma moschatum,Other trees - high wood density
Austrobuxus swainii,Other trees - high wood density
Bedfordia arborescens,Shrubs
Bedfordia salicina,Shrubs
Caldcluvia paniculosa,Other trees - high wood density
Callicoma serratifolia,Other trees - high wood density
Callistemon salignus,Shrubs
Callitris sp.,Other trees - high wood density
Ceratopetalum apetalum,Other trees - high wood density
Cissus hypoglauca,Other trees - high wood density
Clerodendrum floribundum,Other trees - high wood density
Coprosma nitida,Other trees - high wood density
Coprosma quadrifida,Other trees - high wood density
Coprosma sp.,Other trees - high wood density
Correa lawrenceana,Other trees - high wood density
Corymbia calophylla,Eucalypt trees
Cryptocarya bidwillii,Other trees - high wood density
Cryptocarya foveolata,Other trees - high wood density
Cryptocarya glaucescens,Other trees - high wood density
Cryptocarya microneura,Other trees - high wood density
Cryptocarya rigida,Other trees - high wood density
Doryphora sassafras,Other trees - high wood density
Elaeocarpus holopetalus,Other trees - high wood density
Elaeocarpus reticulatus,Other trees - high wood density
Endiandra discolor,Other trees - high wood density
Eucalyptus andrewsii,Eucalypt trees
Eucalyptus andrewsii US,@UniversalSmall
Eucalyptus coccifera,Eucalypt trees
Eucalyptus cypellocarpa,Eucalypt trees
Eucalyptus cypellocarpa US,@UniversalSmall
Eucalyptus dalrympleana,Eucalypt trees
