"species","new.family","new.genus","new.species"
"Allocasuarina torulosa","Casuarinaceae","Allocasuarina","torulosa"
"Eucalyptus microcorys","Myrtaceae","Eucalyptus","microcorys"
"Eucalyptus pilularis","Myrtaceae","Eucalyptus","pilularis"
"Eucalyptus saligna","Myrtaceae","Eucalyptus","saligna"
"Eucalyptus sp.","Myrtaceae","Eucalyptus","sp."
"Trochocarpa laurina","Ericaceae","Trochocarpa","laurina"
"UNNCU14",NA,"UNNCU14",NA
"Elaeocarpus reticulatus","Elaeocarpaceae","Elaeocarpus","reticulatus"
"Lophostemon sp.","Myrtaceae","Lophostemon","sp."
"UNNCU15",NA,"UNNCU15",NA
"UNNCUnk",NA,"UNNCUnk",NA
"Pomaderris aspera","Rhamnaceae","Pomaderris","aspera"
"Eucalyptus regnans","Myrtaceae","Eucalyptus","regnans"
"Hedycarya angustifolia","Monimiaceae","Hedycarya","angustifolia"
"USEHDead",NA,"USEHDead",NA
"UVCFUS2",NA,"UVCFUS2",NA
"Acacia sp.","Fabaceae","Acacia","sp."
"Acacia dealbata","Fabaceae","Acacia","dealbata"
"Acacia melanoxylon","Fabaceae","Acacia","melanoxylon"
"Zieria arborescens","Rutaceae","Zieria","arborescens"
"Persoonia arborea","Proteaceae","Persoonia","arborea"
"Bedfordia arborescens","Compositae","Bedfordia","arborescens"
"Lomatia fraseri","Proteaceae","Lomatia","fraseri"
"Olearia argophylla","Compositae","Olearia","argophylla"
"Tasmannia lanceolata","Winteraceae","Tasmannia","lanceolata"
"Leptospermum scoparium","Myrtaceae","Leptospermum","scoparium"
"UVCFUS3",NA,"UVCFUS3",NA
"Eucalyptus delegatensis","Myrtaceae","Eucalyptus","delegatensis"
"Persoonia muelleri","Proteaceae","Persoonia","muelleri"
"Unknown",NA,"Unknown",NA
"Pittosporum bicolor","Pittosporaceae","Pittosporum","bicolor"
"Pomaderris apetala","Rhamnaceae","Pomaderris","apetala"
"Nothofagus cunninghamii","Nothofagaceae","Nothofagus","cunninghamii"
"Eucalyptus obliqua","Myrtaceae","Eucalyptus","obliqua"
"Eucryphia lucida","Cunoniaceae","Eucryphia","lucida"
"Monotoca glauca","Ericaceae","Monotoca","glauca"
"Phyllocladus aspleniifolius","Podocarpaceae","Phyllocladus","aspleniifolius"
"Atherosperma moschatum","Atherospermataceae","Atherosperma","moschatum"
"Nematolepis squamea","Rutaceae","Nematolepis","squamea"
"UTSRDead",NA,"UTSRDead","NA"
"Cryptocarya rigida","Lauraceae","Cryptocarya","rigida"
"Archontophoenix cunninghamiana","Arecaceae","Archontophoenix","cunninghamiana"
"Schizomeria ovata","Cunoniaceae","Schizomeria","ovata"
"Cissus hypoglauca","Vitaceae","Cissus","hypoglauca"
"Syncarpia glomulifera subsp glabra","Myrtaceae","Syncarpia","glomulifera"
"Synoum glandulosum subsp glandulsoum","Meliaceae","Synoum","glandulosum"
"Cryptocarya glaucescens","Lauraceae","Cryptocarya","glaucescens"
"Archihodomyrtus beckleri",NA,"Archihodomyrtus","beckleri"
