Source,Project,site,Total area (ha),Number of individuals,Min Diameter (cm),Max Diameter (cm),Mean Diameter (cm),Stocking rate,DM (t/ha),s.e. (t/ha),DM (t),s.e. (t)
TERN Australia,Ausplot Forest Monitoring Network,A-Tree,1,520,10,218.74,32.56,520,661.51,9.74,661.51,9.74
TERN Australia,Ausplot Forest Monitoring Network,ANU101,1,373,10,300.24,41.36,373,784.49,18.14,784.49,18.14
TERN Australia,Ausplot Forest Monitoring Network,ANU363,1,207,10.5,240.49,58.49,207,700.07,12.4,700.07,12.4
TERN Australia,Ausplot Forest Monitoring Network,ANU589,1,443,10.1,204.64,39.97,443,747.82,10.37,747.82,10.37
TERN Australia,Ausplot Forest Monitoring Network,Ada Tree,1,647,10,359.99,36.54,647,1325.88,51.96,1325.88,51.96
TERN Australia,Ausplot Forest Monitoring Network,BenRidge,1,686,10,303.23,31.4,686,924.82,15.11,924.82,15.11
TERN Australia,Ausplot Forest Monitoring Network,Bird,1,626,10,295.7,31.09,626,842.57,26.16,842.57,26.16
TERN Australia,Ausplot Forest Monitoring Network,BirdTree,1,589,10,291.04,35.25,589,1308.6,26.47,1308.6,26.47
TERN Australia,Ausplot Forest Monitoring Network,BlackBull,1,435,10,208.82,30.14,435,476.84,6.55,476.84,6.55
TERN Australia,Ausplot Forest Monitoring Network,BlackRiver,1,656,11.2,168.3,31.64,656,473.15,5.37,473.15,5.37
TERN Australia,Ausplot Forest Monitoring Network,BondTier,1,609,10,312.91,30.41,609,747.09,22.11,747.09,22.11
TERN Australia,Ausplot Forest Monitoring Network,Bruxner,1,844,10,233.44,25.74,844,703.07,11,703.07,11
TERN Australia,Ausplot Forest Monitoring Network,Candelo,1,187,10.1,211.81,59.24,187,715.3,11.05,715.3,11.05
TERN Australia,Ausplot Forest Monitoring Network,Carey,1,131,10,253.51,58.52,131,605.55,10.31,605.55,10.31
TERN Australia,Ausplot Forest Monitoring Network,Caveside,1,1869,10,237.38,22.84,1869,937.88,18.03,937.88,18.03
TERN Australia,Ausplot Forest Monitoring Network,Clare,1,115,10.6,397.03,95.5,115,1586,127.08,1586,127.08
TERN Australia,Ausplot Forest Monitoring Network,Collins,1,130,10.1,240.37,53.23,130,539.22,11.45,539.22,11.45
TERN Australia,Ausplot Forest Monitoring Network,Dawson,1,210,10,135.4,38.21,210,324.86,4.45,324.86,4.45
TERN Australia,Ausplot Forest Monitoring Network,Dip,1,817,10.2,287.81,27.36,817,518.81,10.28,518.81,10.28
TERN Australia,Ausplot Forest Monitoring Network,Dombakup,1,322,10,164.2,37.97,322,595.96,8.78,595.96,8.78
TERN Australia,Ausplot Forest Monitoring Network,Flowerdale,1,474,10,303.35,37.67,474,753.6,16.82,753.6,16.82
TERN Australia,Ausplot Forest Monitoring Network,Frankland,1,198,10,226.87,42,198,520.17,10.71,520.17,10.71
TERN Australia,Ausplot Forest Monitoring Network,Giants,1,298,10,403.01,49.45,298,1331.62,72.05,1331.62,72.05
TERN Australia,Ausplot Forest Monitoring Network,Goodenia,1,192,10,162.9,50.69,192,544.81,8.34,544.81,8.34
TERN Australia,Ausplot Forest Monitoring Network,HardyCreek,1,381,10,312.19,48.09,381,1120.53,35.04,1120.53,35.04
TERN Australia,Ausplot Forest Monitoring Network,Lardner,1,648,10,146.4,34.26,648,897.77,12.42,897.77,12.42
TERN Australia,Ausplot Forest Monitoring Network,Lorne,1,520,10,241.68,30.29,520,710.48,12.54,710.48,12.54
TERN Australia,Ausplot Forest Monitoring Network,Mackenzie,1,678,10,268.57,33.3,678,691.96,10.09,691.96,10.09
TERN Australia,Ausplot Forest Monitoring Network,MtField,1,795,10,124.5,35.59,795,920.89,11.8,920.89,11.8
TERN Australia,Ausplot Forest Monitoring Network,MtMaurice,1,585,10,289.72,37.39,585,1206.89,34.47,1206.89,34.47
TERN Australia,Ausplot Forest Monitoring Network,Newline,1,371,10,161.1,42.31,371,708.43,10.17,708.43,10.17
TERN Australia,Ausplot Forest Monitoring Network,NorthStyx,1,598,10,367.52,36.19,598,1267.12,61.67,1267.12,61.67
TERN Australia,Ausplot Forest Monitoring Network,Osullivans,1,629,10,110.9,27.16,629,405.37,4.91,405.37,4.91
TERN Australia,Ausplot Forest Monitoring Network,Supersite,1,733,10.2,438.86,37.79,733,1382.16,61.06,1382.16,61.06
TERN Australia,Ausplot Forest Monitoring Network,Sutton,1,299,10,227.94,35.72,299,393.84,5.63,393.84,5.63
TERN Australia,Ausplot Forest Monitoring Network,Tinebank,1,566,10,249.21,29.12,566,700.21,11,700.21,11
TERN Australia,Ausplot Forest Monitoring Network,Turtons,1,547,10,164.7,36.98,547,885.28,13.2,885.28,13.2
TERN Australia,Ausplot Forest Monitoring Network,WaratahMix,1,299,10.1,227.34,42.8,299,680.56,10.24,680.56,10.24
TERN Australia,Ausplot Forest Monitoring Network,Warren,1,155,10,305.26,56.37,155,673.26,13.31,673.26,13.31
TERN Australia,Ausplot Forest Monitoring Network,Weeaproinah,1,941,10.2,479.49,31.8,941,874.38,35.34,874.38,35.34
TERN Australia,Ausplot Forest Monitoring Network,Weld,1,372,10.1,142,35.39,372,373.11,6.12,373.11,6.12
TERN Australia,Ausplot Forest Monitoring Network,WogWay,1,257,10.1,224.36,46.08,257,714.53,12.83,714.53,12.83
TERN Australia,Ausplot Forest Monitoring Network,ZigZag,1,1173,10.2,322.23,26.64,1173,1016.04,36.25,1016.04,36.25
