source;project;site;plot;estsurvey;estdate;survey;date;longitude;latitude;major_axis;minor_axis;orientation;shape;origin;plotarea_ha;plotdmin;nsubplots;geom;st_astext;st_srid
TERN Australia;Ausplot Forest Monitoring Network;A-Tree;NSFNNC002;1;2013-09-26;1;2013-09-26;152.4609;-31.2421;100.0;100.0;112.003;Square;LL;1.0;10.0;1;0020000003000010E6000000010000000540630EBFB15B571FC03F3DFA43FE3F2340630EC816E7468BC03F3E07204E05AA40630EC9F5DF2292C03F3DCD6940CB1A40630EC1905805A0C03F3DC08CF92AD440630EBFB15B571FC03F3DFA43FE3F23;POLYGON((152.460899999999 -31.2420999999732,152.461924983702 -31.242296237038,152.462153373538 -31.2414155753314,152.461128398817 -31.2412193401641,152.460899999999 -31.2420999999732));4326
TERN Australia;Ausplot Forest Monitoring Network;ANU101;VCFSEH001;1;2014-01-31;1;2014-01-31;145.516708;-37.530841;100.0;100.0;41.667;Square;LL;1.0;10.0;1;0020000003000010E6000000010000000540623088DF3732C3C042C3F2990F18C940623091E2FC8547C042C3F97A78B9D4406230940BE80FEBC042C3DCC2F4770F4062308B08292981C042C3D5E190CC9440623088DF3732C3C042C3F2990F18C9;POLYGON((145.516708000001 -37.5308409999576,145.517808430867 -37.5310509767038,145.518072083708 -37.5301746076276,145.516971664805 -37.5299646336581,145.516708000001 -37.5308409999576));4326
TERN Australia;Ausplot Forest Monitoring Network;ANU363;VCFSEH006;1;2014-04-05;1;2014-04-05;145.626745;-37.59279;100.0;100.0;181.736;Square;LL;1.0;10.0;1;0020000003000010E600000001000000054062340E4B87BD42C042CBE08AEFB6C04062341751E343EEC042CBE76455231B4062341978C0CE3BC042CBCAAABEB99340623410726BBE38C042CBC3D15F04EF4062340E4B87BD42C042CBE08AEFB6C0;POLYGON((145.626744999996 -37.5927900000074,145.627846664312 -37.5929990211209,145.6281093374 -37.5921224051737,145.627007685123 -37.5919133867227,145.626744999996 -37.5927900000074));4326
TERN Australia;Ausplot Forest Monitoring Network;ANU589;VCFSEH007;1;2014-04-09;1;2014-04-09;145.638847;-37.588718;100.0;100.0;291.74;Square;LL;1.0;10.0;1;0020000003000010E60000000100000005406234716F4384B8C042CB5B1C864F984062347A759B8E98C042CB61F4867AEC4062347C9C011FBCC042CB453A9362404062347395AF8CEEC042CB3E6298BAC4406234716F4384B8C042CB5B1C864F98;POLYGON((145.638847 -37.5887180000129,145.63994865782 -37.588926854767,145.64021110744 -37.5880501956603,145.639109461662 -37.5878413434744,145.638847 -37.5887180000129));4326
TERN Australia;Ausplot Forest Monitoring Network;Ada Tree;VCFSEH002;1;2014-02-06;1;2014-02-06;145.867273;-37.804973;100.0;100.0;211.917;Square;LL;1.0;10.0;1;0020000003000010E6000000010000000540623BC0B34E763FC042E7095AF2A10F40623BC9C1692AD3C042E71026CA99FA40623BCBE5991B4EC042E6F369CFA1BA40623BC2D784F603C042E6EC9DFD499240623BC0B34E763FC042E7095AF2A10F;POLYGON((145.867272999998 -37.8049730000222,145.868378358273 -37.8051804055467,145.86863975433 -37.8043033851458,145.867534408273 -37.8040959822421,145.867272999998 -37.8049730000222));4326
TERN Australia;Ausplot Forest Monitoring Network;BenRidge;TCFBEL002;1;2015-01-06;1;2015-01-06;147.602513;-41.367397;100.0;100.0;117.257;Square;LL;1.0;10.0;1;0020000003000010E6000000010000000540627347C957CCECC044AF06DD69C636406273514FF69317C044AF0DBC35F79640627353979C5344C044AEF107CE8AE74062734A11057B37C044AEEA29081B4340627347C957CCECC044AF06DD69C636;POLYGON((147.602512999997 -41.3673969999767,147.603675824729 -41.3676066649925,147.603954129527 -41.366730666972,147.602791319566 -41.366521004637,147.602512999997 -41.3673969999767));4326
TERN Australia;Ausplot Forest Monitoring Network;Bird;TCFTSR001;1;2012-01-23;1;2012-01-23;146.643249;-43.089424;100.0;100.0;349.553;Square;LL;1.0;10.0;1;0020000003000010E60000000100000005406254957EED45C1C0458B723EE1C0454062549F374F7534C0458B79E70CC187406254A1D3E875F2C0458B5D67F7F350406254981B8E9D19C0458B55BFD3E4EE406254957EED45C1C0458B723EE1C045;POLYGON((146.643248999999 -43.0894240000057,146.644435553733 -43.089657670239,146.644754365945 -43.0887880287834,146.643567827742 -43.0885543617859,146.643248999999 -43.0894240000057));4326
TERN Australia;Ausplot Forest Monitoring Network;BirdTree;NSFNNC005;1;2013-10-31;1;2013-10-31;152.682894;-31.686657;100.0;100.0;272.224;Square;LL;1.0;10.0;1;0020000003000010E60000000100000005406315DA448494E3C03FAFC8C0CE901F406315E2B4557A87C03FAFD59BA595E5406315E4956387C3C03FAF9BE503C654406315DC25979241C03FAF8F0A34D987406315DA448494E3C03FAFC8C0CE901F;POLYGON((152.682894000004 -31.6866569999985,152.68392388053 -31.6868531493436,152.684153265376 -31.6859725126472,152.683123394048 -31.6857763651874,152.682894000004 -31.6866569999985));4326
TERN Australia;Ausplot Forest Monitoring Network;BlackBull;NSFNNC006;1;2013-11-07;1;2013-11-07;152.726671;-30.15757;100.0;100.0;56.723;Square;LL;1.0;10.0;1;0020000003000010E6000000010000000540631740E38A7E5CC03E285681ECF7A44063174935CBED5FC03E2862CD1762434063174AFA7B356DC03E2828F37CE8E140631742A83E675BC03E281CA859CA4E40631740E38A7E5CC03E285681ECF7A4;POLYGON((152.726670999999 -30.1575700000318,152.727686785026 -30.1577575857248,152.727902641909 -30.156874864574,152.726886865504 -30.15668728058,152.726670999999 -30.1575700000318));4326
TERN Australia;Ausplot Forest Monitoring Network;BlackRiver;TCFKIN001;1;2014-11-04;1;2014-11-04;145.285228;-40.90313;100.0;100.0;370.884;Square;LL;1.0;10.0;1;0020000003000010E600000001000000054062292096787C87C0447399C38B053040622929F981B78EC04473A1775C490D4062292C83324BB4C0447384FA5B12CF4062292320306D90C044737D4690F1654062292096787C87C0447399C38B0530;POLYGON((145.285227999997 -40.9031300000009,145.286373856882 -40.9033650589573,145.286683653101 -40.9024956650443,145.285537809931 -40.9022606094102,145.285227999997 -40.9031300000009));4326
