"allom.key","allom.name","allom.region","allom.pft","allom.model","d.stem.max","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12"
1,"chave2014a","Pan-tropics",NA,2,2.12,-2.024,-0.896,0.92,2.795,-0.0461,NA,NA,NA,NA,NA,NA,NA
2,"chave2014b","Pan-tropics",NA,3,2.12,0.0673,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"jenkins2003","USA","aa",1,0.7,-2.2094,2.3867,0.507441,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"jenkins2003","USA","mb",1,0.66,-1.9123,2.3651,0.491685,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"jenkins2003","USA","mh",1,0.56,-2.48,2.4835,0.360458,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"jenkins2003","USA","mo",1,0.73,-2.0127,2.4342,0.236483,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"jenkins2003","USA","cl",1,2.5,-2.0336,2.2592,0.294574,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"jenkins2003","USA","df",1,2.1,-2.2304,2.4435,0.218712,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"jenkins2003","USA","tf",1,2.3,-2.5384,2.4814,0.182329,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"jenkins2003","USA","pi",1,1.8,-2.5356,2.4349,0.253781,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"jenkins2003","USA","sp",1,2.5,-2.0773,2.3323,0.250424,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"jenkins2003","USA","wo",1,0.78,-0.7152,1.7029,0.384331,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"paul2016","Australia","eucalypt",1,1.69,-2.0163,2.3746,0.3597,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"paul2016","Australia","mallee",1,0.8113,-2.7552,2.4734,0.3891,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"paul2016","Australia","acacia",1,0.4632,-1.6314,2.3037,0.3617,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"paul2016","Australia","other_highp",1,1.02,-1.6925,2.2198,0.2927,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"paul2016","Australia","other_lowp",1,0.493,-1.7119,2.1568,0.2735,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"paul2016","Australia","shrubs",1,0.5,-3.0074,2.4276,0.4911,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"paul2016","Australia","universal_small",1,2.03,-3.0254,2.504,0.4458,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"paul2016","Australia","universal_large",1,NA,-0.3714,2.0345,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"muukkonen2007","Europe","temperate-picea_abies",4,0.4,0.255,2.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"muukkonen2007","Europe","temperate-pinus_sylvestris",4,0.4,0.158,2.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"muukkonen2007","Europe","temperate-quercus_spp",4,0.5,0.23,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"muukkonen2007","Europe","temperate-fagus_spp",4,0.5,0.24,2.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"moore2010","New Zealand","pinus_radiata",5,NA,-0.5816,1.124,0.203,0,NA,NA,NA,NA,NA,NA,NA,NA
26,"beets2011","New Zealand","temperate",6,NA,4.83e-05,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"forrester2017","Europe","abies-alba",1,0.577,-2.3958,2.4497,1.0006804,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"forrester2017","Europe","alnus-glutinosa",1,0.473,-2.2353,2.3772,1.0398746,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"forrester2017","Europe","alnus-glutinosa-or-a-incana",1,0.473,-2.3914,2.4204,1.023465,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"forrester2017","Europe","alnus-incana",1,0.246,-2.5273,2.4667,0.9999177,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"forrester2017","Europe","betula-pendula",1,0.14,-2.0013,2.3683,1.0351011,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"forrester2017","Europe","betula-pubescens",1,0.09,-1.9147,2.2081,1.0264134,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"forrester2017","Europe","castania-sativa",1,0.642,-1.8351,2.2916,0.9784021,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"forrester2017","Europe","fagus-sylvatica",1,0.84,-1.6594,2.3589,0.9969239,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"forrester2017","Europe","fraxinus-excelsior",1,0.4,-2.8255,2.8048,0.8627835,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"forrester2017","Europe","larix-decidua",1,0.901,-1.6512,2.2312,1.0291595,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"forrester2017","Europe","picea-abies",1,0.82,-1.8865,2.3034,1.0591408,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"forrester2017","Europe","pinus-cembra",1,0.563,-3.0675,2.5298,1.0046326,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"forrester2017","Europe","pinus-nigra",1,0.773,-2.0236,2.3345,0.9811012,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"forrester2017","Europe","pinus-pinaster",1,0.64,-2.5918,2.422,1.0485864,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"forrester2017","Europe","pinus-sylvestris",1,0.71,-2.1575,2.3097,1.1187067,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"forrester2017","Europe","populus-spp",1,0.447,-2.311,2.3538,1.1230023,NA,NA,NA,NA,NA,NA,NA,NA,NA
