"project","plot","survey","l.project","l.instr","l.epsg","l.date","g.fp"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463897.24],""y"":[6504746.63]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463935.09],""y"":[6504787.77]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463926.2],""y"":[6504811.14]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463917.31],""y"":[6504834.5]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463967.34],""y"":[6504773.3]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463958.45],""y"":[6504796.66]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463949.56],""y"":[6504820.03]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463940.67],""y"":[6504843.39]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463888.35],""y"":[6504769.99]}"
"australia_ausplotsforests","NSFNNC004","1","oeh_ausplotsforests",NA,28356,NA,"{""edge"":[1],""ix"":[1],""iy"":[1],""edge.frac"":[1],""x"":[463879.46],""y"":[6504793.36]}"
