"project","item","value"
"australia_ausplotsforests","Source","Queensland Department of Science Information Technology and Innovation"
"australia_ausplotsforests","Project","Ausplots Forests"
"australia_ausplotsforests","Contact","Ben Sparrow, John Armston"
"australia_ausplotsforests","Email","ben.sparrow@adelaide.edu.au, armston@umd.edu"
"australia_ausplotsforests","Region","Australia"
"australia_ausplotsforests","Sampling strategy","100mx100m stem mapped plots"
"australia_ausplotsforests","Stem measurement","Stem diameter measure with diameter tape at 1.3m for all stems >10 cm"
"australia_ausplotsforests","Height measurement","Height measured for all trees >10 cm"
"australia_ausplotsforests","Location measurement","Unknown"
"australia_ausplotsforests","Height model","weibull"
