COMMON_NAME,GENUS,SPECIESp,TreeSpecies
treecotton,Kokia,spp.,KOKIA
leadwood,Krugiodendron,ferreum,KRFE
burgan,Kunzea,ericoides,KUER
Kunzea,Kunzea,spp.,KUNZE
summit labordia,Labordia,fagraeoidea,LAFA2
bog labordia,Labordia,hedyosmifolia,LAHE2
mountain labordia,Labordia,hirtella,LAHI5
Waianae Range labordia,Labordia,kaalae,LAKA
Wahiawa Mountain labordia,Labordia,lydgatei,LALY2
labordia,Labordia,spp.,LABOR
paleflower labordia,Labordia,tinifolia,LATI2
Lanai labordia,Labordia,triflora,LATR4
Nevada peavine,Labordia,waiolani,LAWA3
cuero de rana,Laetia,procera,LAPR2
crapemyrtle,Lagerstroemia,indica,LAIN
pride of India,Lagerstroemia,speciosa,LASP
Langsat,Lansium,domesticum,LADO2
nino de cota,Laplacea,portoricensis,LAPO
bluelatan,Latania,loddigesii,LALO
henna,Lawsonia,inermis,LAIN5
Krug's roughleaf,Leandra,krugiana,LEKR
pitahaya,Leptocereus,quadricostatus,LEQU
large-leaf yellow teatree,Leptospermum,morrisonii,LEMO20
common teatree,Leptospermum,petersonii,LEPE23
cream albizia,Albizia,adinocephala,ALAD
naked albizia,Albizia,carbonaria,ALCA8
Chinese albizia,Albizia,chinensis,ALCH2
ukall ra ngebard,Albizia,falcataria,ALFA5
woman's tongue,Albizia,lebbeck,ALLE
tall albizia,Albizia,procera,ALPR
ukall ra ngebard,Albizia,retusa,ALRE
whiteflower albizia,Albizia,saponaria,ALSA10
albizia,Albizia,spp.,ALBIZ
achiotillo,Alchornea,latifolia,ALLA
palo de gallina,Alchorneopsis,floribunda,ALFL3
Hawaii alectryon,Alectryon,macrococcus,ALMA
alectryon,Alectryon,spp.,ALECT
Indian walnut,Aleurites,moluccana,ALMO2
aleurites,Aleurites,spp.,ALEUR
lumbang,Aleurites,trisperma,ALTR11
palo blanco,Allophylus,crassinervis,ALCR9
palo de caja,Allophylus,racemosus,ALRA
Allophylus,Allophylus,spp.,ALLOP
chebeludes,Allophylus,ternatus,ALTE13
Senegal mahogany,Khaya,senegalensis,KHSE2
Kigelia africana,Kigelia,africana,KIAF
guest tree,Kleinhovia,hospita,KLHO
Koanophyllon polyodon,Koanophyllon,polyodon,KOPO
Molokai treecotton,Kokia,cookei,KOCO2
Hawaii treecotton,Kokia,drynarioides,KODR
Kauai treecotton,Kokia,kauaiensis,KOKA
Wailupe Valley treecotton,Kokia,lanceolata,KOLA2
common teatree,Leptospermum,polygalifolim,LEPO22
broom teatree,Leptospermum,scoparium,LESC2
teatree,Leptospermum,spp.,LEPTO4
Leucaena insularum,Leucaena,insularum,LEIN31
