USDA PLANTS SYMBOL,FIA CODE (3 digit),FVS ALPHA CODE,COMMON NAME (from FSVeg),SCIENTIFIC NAME (from FSVeg),CS_Mapped_To,LS_Mapped_To,NE_Mapped_To,SN_Mapped_To
ABBA  ,012,BF,Balsam Fir,Abies balsamea (L.) Mill.,OS,BF,BF,FR
ABCO  ,015,,White Fir,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,OS,BF,BF,FR
ABFR  ,016,,Fraser Fir,Abies fraseri (Pursh) Poir.,OS,BF,BF,FR
ABIES ,010,FR,Fir Spp.,Abies Mill.,OS,BF,BF,FR
ACFA  ,303,,Sweet Acacia,Acacia farnesiana (L.) Willd.,NC,NC,NC,OH
ACGR  ,304,,Catclaw Acacia,Acacia greggii A. Gray,NC,NC,NC,OH
ACACI ,300,,Acacia Spp.,Acacia Mill.,NC,NC,NC,OH
ACBA3 ,311,FM,Florida Maple,Acer barbatum Michx.,SM,SM,SM,FM
ACGL  ,321,,Rocky Mountain Maple,Acer glabrum Torr.,BE,MM,BE,BE
ACGR3 ,322,,Bigtooth Maple,Acer grandidentatum Nutt.,BE,MM,BE,BE
ACER  ,310,MP,Maple Spp.,Acer L.,RM,SM,SM,RM
ACLE  ,323,CM,Chalk Maple,Acer leucoderme Small,SM,SM,SM,SM
ACNE2 ,313,BE,Boxelder,Acer negundo L.,BE,BE,BE,BE
ACNI5 ,314,BM,Black Maple,Acer nigrum Michx. f.,SM,BM,BM,SM
ACPE  ,315,ST,Striped Maple,Acer pensylvanicum L.,BE,ST,ST,BE
ACPL  ,320,,Norway Maple,Acer platanoides L.,SM,SM,SM,SM
ACRU  ,316,RM,Red Maple,Acer rubrum L.,RM,RM,RM,RM
ACSA2 ,317,SV,Silver Maple,Acer saccharinum L.,SV,SV,SV,SV
ACSA3 ,318,SM,Sugar Maple,Acer saccharum Marsh.,SM,SM,SM,SM
ACSP2 ,319,MM,Mountain Maple,Acer spicatum Lam.,BE,MM,BE,BE
ACWR4 ,906,,Paurotis Palm,Acoelorrhaphe wrightii (Griseb. & H. Wendl.) H. Wendl. ex Becc.,NC,NC,NC,OT
AEFL  ,332,YY,Yellow Buckeye,Aesculus flava Aiton,OB,CH,YY,BU
AEGL  ,331,OB,Ohio Buckeye,Aesculus glabra Willd.,OB,CH,BU,BU
AEGLA ,334,,Texas Buckeye,Aesculus glabra Willd. var. arguta (Buckley) B.L. Rob.,NC,NC,NC,OH
AESCU ,330,BU,"Buckeye, Horsechestnut",Aesculus L.,OB,CH,BU,BU
AEPA  ,336,,Red Buckeye,Aesculus pavia L.,NC,NC,NC,OH
AESY  ,337,,Painted Buckeye,Aesculus sylvatica Bartram,NC,NC,NC,OH
AIAL  ,341,AI,Ailanthus,Ailanthus altissima (Mill.) Swingle,NC,NC,AI,OH
ALJU  ,345,,"Mimosa, Silktree",Albizia julibrissin Durazz.,NC,NC,NC,OH
ALGL2 ,355,,European Alder,Alnus glutinosa (L.) Gaertn.,NC,NC,NC,OH
ALIN2 ,,,Gray Alder,Alnus incana (L.) Moench,NC,NC,NC,OH
ALINR ,,,Speckled Alder,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,NC,NC,NC,OH
ALNUS ,350,,Alder Spp.,Alnus Mill.,NC,NC,NC,OH
ALVI5 ,,,Green Alder,Alnus viridis (Chaix) DC.,NC,NC,NC,OH
ALVIC ,,,Mountain Alder,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,NC,NC,NC,OH
AMAR3 ,357,,Common Serviceberry,Amelanchier arborea (Michx. f.) Fernald,NC,NC,SE,OH
AMARA4,,,Serviceberry Variety,Amelanchier arborea (Michx. f.) Fernald var. arborea,NC,NC,SE,OH
AMELA ,356,SE,Serviceberry Spp.,Amelanchier Medik.,NC,NC,SE,OH
AMSA  ,358,,Roundleaf Serviceberry,Amelanchier sanguinea (Pursh) DC.,NC,NC,SE,OH
AMEL  ,852,,Torchwood,Amyris elemifera L.,NC,NC,NC,OT
ANGL4 ,853,,Pond Apple,Annona glabra L.,NC,NC,NC,OT
ARSP2 ,,,Devil¡¯S Walkingstick,Aralia spinosa L.,NC,NC,NC,OH
ARXA80,,,Texas Madrone,Arbutus xalapensis Kunth,NC,NC,NC,OT
ARECA ,915,,Other Palms,Areca L.,NC,NC,NC,OT
ASOB6 ,,,Bigflower Pawpaw,Asimina obovata (Willd.) Nash,NC,NC,NC,OH
ASTR  ,367,,Pawpaw,Asimina triloba (L.) Dunal,NC,NC,NC,OH
AVGE  ,986,,Black Mangrove,Avicennia germinans (L.) L.,NC,NC,NC,OH
BEAL2 ,371,YB,Yellow Birch,Betula alleghaniensis Britton,RB,YB,YB,BB
BETUL ,370,BB,Birch Spp.,Betula L.,RB,PB,YB,BB
BELE  ,372,SB,Sweet Birch,Betula lenta L.,RB,YB,SB,SB
BENI  ,373,RB,River Birch,Betula nigra L.,RB,PB,RB,BB
BEOC2 ,374,WR,Water Birch,Betula occidentalis Hook.,RB,PB,WR,BB
BEPA  ,375,PB,Paper Birch,Betula papyrifera Marsh.,RB,PB,PB,BB
BEPAC ,,,Western Paper Birch,Betula papyrifera var. commutata,RB,PB,PB,BB
BEPO  ,379,GB,Gray Birch,Betula populifolia Marsh.,RB,YB,GB,BB
BEPU4 ,,,Bog Birch,Betula pumila L.,RB,PB,YB,BB
BEUB  ,377,,Virginia Roundleaf Birch,Betula uber (Ashe) Fernald,RB,PB,RB,BB
BRPO3 ,,,Puerto Rico Raintree,Brunfelsia portoricensis Krug & Urb.,NC,NC,NC,OH
BUSI  ,854,,Gumbo Limbo,Bursera simaruba (L.) Sarg.,NC,NC,NC,OT
CALU12,,,Luquillo Forest Lidflower,Calyptranthes luquillensis Alain,NC,NC,NC,OH
CAWO5 ,,,Woodbury's Lidflower,Calyptranthes woodburyi Alain,NC,NC,NC,OH
CACA18,391,AH,"Am Hornbeam, Musclewood",Carpinus caroliniana Walter,AH,AH,AH,AH
CAAL27,409,MH,Mockernut Hickory,Carya alba (L.) Nutt.,MH,PH,MH,HI
CAAQ2 ,401,WH,Water Hickory,Carya aquatica (Michx. f.) Nutt.,WH,BH,HI,HI
CACA38,413,,Southern Shagbark Hickory,Carya carolinae-septentrionalis (Ashe) Engl. & Graebn.,SH,SH,HI,HI
CACO15,402,BH,Bitternut Hickory,Carya cordiformis (Wangenh.) K. Koch,BH,BH,HI,HI
CAFL6 ,411,,Scrub Hickory,Carya floridana Sarg.,BI,PH,HI,HI
CAGL8 ,403,PH,Pignut Hickory,Carya glabra (Mill.) Sweet,PH,PH,PH,HI
CAIL2 ,404,PE,Pecan,Carya illinoinensis (Wangenh.) K. Koch,PE,BH,HI,HI
CALA21,405,SL,Shellbark Hickory,Carya laciniosa (Michx. f.) G. Don,SL,SH,SL,HI
CAMY  ,406,,Nutmeg Hickory,Carya myristiciformis (Michx. f.) Nutt.,PE,BH,HI,HI
CARYA ,400,HI,Hickory Spp.,Carya Nutt.,HI,BH,HI,HI
CAOV3 ,412,,Red Hickory,Carya ovalis (Wangenh.) Sarg.,PH,PH,HI,HI
CAOV2 ,407,SH,Shagbark Hickory,Carya ovata (Mill.) K. Koch,SH,SH,SH,HI
CAPA24,410,,Sand Hickory,Carya pallida (Ashe) Engl. & Graebn.,PH,PH,HI,HI
,,HS,Select hickory,Carya select ,HS,BH,HI,HI
CATE9 ,408,BI,Black Hickory,Carya texana Buckley,BI,PH,HI,HI
CADE12,421,AC,American Chestnut,Castanea dentata (Marsh.) Borkh.,NC,AC,NC,OH
CASTA ,420,,Chesnut Spp.,Castanea Mill.,NC,AC,NC,OH
CAMO83,424,,Chinese Chesnut,Castanea mollissima Blume,NC,AC,NC,OH
CAPU9 ,422,,Allegheny Chinkapin,Castanea pumila (L.) Mill.,NC,AC,NC,OH
CAPUO ,423,,Ozark Chinkapin,Castanea pumila (L.) Mill. var. ozarkensis (Ashe) Tucker,NC,AC,NC,OH
CAGL11,856,,Gray Sheoak,Casuarina glauca Siebold ex Spreng.,NC,NC,NC,OT
CALE28,857,,Australian Pine,Casuarina lepidophloia F. Muell.,NC,NC,NC,OT
CASUA ,855,,Sheoak Spp.,Casuarina Rumph. ex L.,NC,NC,NC,OT
CABI8 ,451,,Southern Catalpa,Catalpa bignonioides Walter,CA,CH,OH,CA
CATAL ,450,CA,Catalpa Spp.,Catalpa Scop.,CA,CH,OH,CA
CASP8 ,452,,Northern Catalpa,Catalpa speciosa (Warder) Warder ex Engelm.,CA,CH,OH,CA
CELTI ,460,HB,Hackberry Spp.,Celtis L.,HK,HK,HK,HB
