"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","genus","family","species"
"Zanne","Amy",61,"Global Wood Density Database","Zygogynum whiteana",60603,"Zygogynum whiteana",753059,3368584,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.512295,"g/cm^3","Single",NA,NA,NA,0.512295,"mg/mm3",NA,NA,0.544655,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygogynum","Winteraceae","Zygogynum sp."
"Zanne","Amy",61,"Global Wood Density Database","Zygogynum semecarpoides",57637,"Zygogynum semecarpoides",753058,3368582,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.512295,"g/cm^3","Single",NA,NA,NA,0.512295,"mg/mm3",NA,3368580,0.544655,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygogynum","Winteraceae","Zygogynum semecarpoides"
"Zanne","Amy",61,"Global Wood Density Database","Zygogynum semecarpoides",57637,"Zygogynum semecarpoides",753057,3368580,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.512295,"g/cm^3","Single",NA,NA,NA,0.512295,"mg/mm3",NA,3368576,0.544655,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygogynum","Winteraceae","Zygogynum semecarpoides"
"Zanne","Amy",61,"Global Wood Density Database","Zygogynum semecarpoides",57637,"Zygogynum semecarpoides",753056,3368578,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.461496,"g/cm^3","Single",NA,NA,NA,0.461496,"mg/mm3",NA,3368574,0.684925,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygogynum","Winteraceae","Zygogynum semecarpoides"
"Zanne","Amy",61,"Global Wood Density Database","Zygogynum semecarpoides",57637,"Zygogynum semecarpoides",753055,3368576,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.512295,"g/cm^3","Single",NA,NA,NA,0.512295,"mg/mm3",NA,NA,0.544655,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygogynum","Winteraceae","Zygogynum semecarpoides"
"Zanne","Amy",61,"Global Wood Density Database","Zygogynum semecarpoides",57637,"Zygogynum semecarpoides",753054,3368574,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.461496,"g/cm^3","Single",NA,NA,NA,0.461496,"mg/mm3",NA,NA,0.684925,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygogynum","Winteraceae","Zygogynum semecarpoides"
"Zanne","Amy",61,"Global Wood Density Database","Zygia selloi",57629,"Zygia selloi",753053,3368572,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",1.331,"g/cm^3","Single",NA,NA,NA,1.331,"mg/mm3",NA,NA,3.67088,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygia","Fabaceae","Zygia selloi"
"Zanne","Amy",61,"Global Wood Density Database","Zygia racemosa",57627,"Zygia racemosa",753052,3368570,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.748,"g/cm^3","Single",NA,NA,NA,0.748,"mg/mm3",NA,NA,0.812969,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygia","Fabaceae","Zygia racemosa"
"Zanne","Amy",61,"Global Wood Density Database","Zygia longifolia",57626,"Zygia longifolia",753051,3368568,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.71,"g/cm^3","Single",NA,NA,NA,0.71,"mg/mm3",NA,NA,0.651253,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygia","Fabaceae","Zygia longifolia"
"Zanne","Amy",61,"Global Wood Density Database","Zygia latifolia",57625,"Zygia latifolia",753050,3368566,4,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",4,"Wood density; stem specific density","WSG (g/cm^3)",0.73,"g/cm^3","Single",NA,NA,NA,0.73,"mg/mm3",NA,NA,0.737417,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.","Zygia","Fabaceae","Zygia latifolia"
