Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
ABAB,,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,Malvaceae
ABAB,ABAM5,Abutilon americanum (L.) Sweet,,
ABAB,ABJA,Abutilon jacquinii G. Don,,
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,,
ABAB70,,Abietinella abietina (Hedw.) Fleisch.,abietinella moss,Thuidiaceae
ABAB70,HYAB,Hypnum abietinum Hedw.,,
ABAB70,THAB70,Thuidium abietinum (Hedw.) Schimp.,,
ABAL,,Abronia alpina Brandegee,Ramshaw Meadows sand verbena,Nyctaginaceae
ABAL3,,Abies alba Mill.,silver fir,Pinaceae
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae
ABAM2,,Abronia ameliae Lundell,Amelia's sand verbena,Nyctaginaceae
ABAM3,,Abronia ammophila Greene,Wyoming sand verbena,Nyctaginaceae
ABAM3,ABFE,Abronia fendleri Standl.,,
ABAN,,Abronia angustifolia Greene,purple sand verbena,Nyctaginaceae
ABAN,ABANA,Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles,,
ABAN,ABTO,Abronia torreyi Standl.,,
ABAR,,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,Nyctaginaceae
ABAU,,Abutilon auritum (Wall. ex Link) Sweet,Asian Indian mallow,Malvaceae
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae
ABBAB,PIBA3,Pinus balsamea L.,,
ABBAP,,Abies balsamea (L.) Mill. var. phanerolepis Fernald,balsam fir,Pinaceae
ABBAP,ABPH,Abies Ã—phanerolepis (Fernald) Liu,,
ABBE,,Abutilon berlandieri A. Gray ex S. Watson,Berlandier's Indian mallow,Malvaceae
ABBE,ABCA2,Abutilon californicum auct. non Benth.,,
ABBE2,,Abrothallus bertianus De Not.,,Uncertain Ascomycota Family
ABBI,,Abronia bigelovii Heimerl,Galisteo sand verbena,Nyctaginaceae
ABBO,,"Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil",Bolack's sand verbena,Nyctaginaceae
