"project","date","survey","region","l.project","l.instr","l.date","l.region","l.path","l.epsg"
"australia_ausplotsforests","2013-09-26","1","Au",NA,NA,NA,NA,NA,NA
"australia_ausplotsforests","2013-10-07","1","Au","oeh_ausplotsforests",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/oeh_ausplotsforests/las","28356"
"australia_ilcp2015","2015-08-18","15-Aug","Au","jrsrp_ilcp2015",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/jrsrp_ilcp2015/ALS","28355"
"australia_robsoncreek","1/1/2009","2009","Au","tern_robson",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/tern_robson/ALS","28355"
"australia_smapex","2011-08-30","2011","Au","ara_smapex",NA,NA,"australia","/gpfs/data1/vclgp/data/gedi/incoming/australia/ara_smapex/las_unzipped","28355"
"borneo_usfs","1/1/2009","2009","SEAsia","jpl_borneo_138",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_138_utm_49S/lasclass","32749"
"borneo_usfs","1/1/2009","2009","SEAsia","jpl_borneo_004",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_004_utm_49N/lasclass","32649"
"borneo_usfs","1/1/2009","2009","SEAsia","jpl_borneo_001",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_001_utm_50S/lasclass","32750"
"borneo_rmurezal","1/1/2014","2014","SEAsia","jpl_borneo_144",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_144_utm_49S/lasclass","32749"
"borneo_rodamas","1/1/2014","2014","SEAsia","jpl_borneo_008",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_008_utm_50N/lasclass","32650"
"borneo_sepilok","1/1/2014","2014","SEAsia","cambridge_sepilok",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/cambridge_sepilok/ALS_las","32650"
"borneo_sindolumber","1/1/2015","2015","SEAsia","jpl_borneo_001",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_001_utm_50S/lasclass","32750"
"brazil_fna2013","2013-10-19","FNA_A01","SA","embrapa_brazil_keller_2013_32721",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2013/brazil_32721","32721"
"borneo_timberdana","1/1/2014","2014","SEAsia","jpl_borneo_005",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_005_utm_50S/lasclass","32750"
"borneo_tuanam","1/1/2014","2014","SEAsia","jpl_borneo_119",NA,NA,"seasia","/gpfs/data1/vclgp/data/gedi/incoming/seasia/jpl_borneo/Polygon_119_utm_50S/lasclass","32750"
"brazil_and2013","2013-08-22","AND_A01","SA","embrapa_brazil_keller_2013_32723",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2013/brazil_32723","32723"
"brazil_bon2014","2014-07-11","BON_A01","SA","embrapa_brazil_keller_2013_32719",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2013/brazil_32719","32719"
"brazil_cau20122014","2012-01-27","CAU_A01","SA",NA,NA,NA,NA,NA,NA
"brazil_fst2013","2013-11-18","FST_A01","SA","embrapa_brazil_keller_2013_32721",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2013/brazil_32721","32721"
"brazil_jam2013","2013-12-17","JAM_A02","SA","embrapa_brazil_keller_2013_32720",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2013/brazil_32720","32720"
"brazil_sfx2011","2011-10-21","SFX_A01","SA","embrapa_brazil_keller_2012_32722",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2012/brazil_32722","32722"
